author,rating,no_of_reviews,title
Heidi Murkoff,4.4 out of 5 stars,998,What to Expect When You're Expecting
Dr. Jason Fung,4.7 out of 5 stars,2541,The Obesity Code: Unlocking the Secrets of Weight Loss
Kaplan Test Prep,4.2 out of 5 stars,232,MCAT Complete 7-Book Subject Review 2020-2021: Online + Book + 3 Practice Tests (Kaplan Test Prep)
Jocko Willink,4.8 out of 5 stars,2879,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition)
Ariana Madix,0,0,Fancy AF Cocktails: Drink Recipes from a Couple of Professional Drinkers
Adrian McKinty,4.1 out of 5 stars,222,The Chain
Jen Sincero,4.6 out of 5 stars,4617,You Are a Badass®: How to Stop Doubting Your Greatness and Start Living an Awesome Life
Jacqueline Woodson,4.7 out of 5 stars,87,The Day You Begin
Taffy Brodesser-Akner,3.8 out of 5 stars,184,Fleishman Is in Trouble: A Novel
George Orwell,4.5 out of 5 stars,7037,1984 (Signet Classics)
Amy Harmon,4.8 out of 5 stars,3569,What the Wind Knows
Brené Brown,4.6 out of 5 stars,4117,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are (1)
Toni Morrison,4.3 out of 5 stars,33,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations"
J. K. Rowling,4.8 out of 5 stars,3260,Harry Potter Paperback Box Set (Books 1-7)
Clea Shearer,4.6 out of 5 stars,410,The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator  Labels)
Debbie Macomber,4.3 out of 5 stars,119,Window on the Bay
Suzanne Ryan,4.8 out of 5 stars,1524,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes"
D.J. Steinberg,4.7 out of 5 stars,488,"Kindergarten, Here I Come!"
Vivian Barz,4.4 out of 5 stars,658,Forgotten Bones (Dead Remaining Book 1)
Anthony William,4.7 out of 5 stars,1646,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease"
Future Press,4.3 out of 5 stars,87,Dark Souls Trilogy Compendium
Valorie Schaefer,4.8 out of 5 stars,2935,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)"
Lisa A. Urry,4.1 out of 5 stars,171,Campbell Biology (11th Edition)
Robin DiAngelo,4.3 out of 5 stars,473,White Fragility: Why It's So Hard for White People to Talk About Racism
Lori Gottlieb,4.7 out of 5 stars,614,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed"
Trevor Noah,4.8 out of 5 stars,7199,Born a Crime: Stories from a South African Childhood
Reece Hirsch,4.4 out of 5 stars,88,Black Nowhere (Lisa Tanchik Book 1)
John J Newman,2.9 out of 5 stars,770,"United States History: Preparing for the Advanced Placement Examination, 2018 Edition"
John Steinbeck,4.4 out of 5 stars,2631,Of Mice and Men
"Martin Jr., Bill",4.8 out of 5 stars,2836,"Brown Bear, Brown Bear, What Do You See?"
Wizards RPG Team,4.5 out of 5 stars,792,Xanathar's Guide to Everything (Dungeons & Dragons)
Anthony William,4.8 out of 5 stars,377,Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide
Ilona Andrews,4.9 out of 5 stars,606,Sweep of the Blade (Innkeeper Chronicles Book 4)
Hannah Shaw,5.0 out of 5 stars,175,Tiny But Mighty: Kitten Lady's Guide to Saving the Most Vulnerable Felines
Ray Dalio,4.4 out of 5 stars,997,Principles: Life and Work
Wizards RPG Team,4.7 out of 5 stars,1405,"Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game)"
Lois Lowry,4.4 out of 5 stars,6503,The Giver (1) (Giver Quartet)
Julia Cook,4.7 out of 5 stars,706,My Mouth Is A Volcano
Natasha Wing,4.6 out of 5 stars,367,The Night Before Kindergarten
Amor Towles,4.7 out of 5 stars,10836,A Gentleman in Moscow: A Novel
Alvin Schwartz,4.2 out of 5 stars,927,Scary Stories Paperback Box Set: The Complete 3-Book Collection with Classic Art by Stephen Gammell
"Vallerand PhD  RN  FAAN, April Hazard",4.5 out of 5 stars,99,Davis's Drug Guide for Nurses
Viktor E. Frankl,4.7 out of 5 stars,4393,Man's Search for Meaning
Charlie Mackesy,0,0,"The Boy, the Mole, the Fox and the Horse"
Wizards RPG Team,4.6 out of 5 stars,1449,"Dungeons & Dragons Dungeon Master's Guide (Core Rulebook, D&D Roleplaying Game)"
"Silvestri PhD  RN, Linda Anne",4.8 out of 5 stars,703,Saunders Comprehensive Review for the NCLEX-RN (Saunders Comprehensive Review for Nclex-Rn)
Amy Shields,4.7 out of 5 stars,1037,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)
Gary John Bishop,4.6 out of 5 stars,1309,Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series)
Pamela M. Kelley,4.2 out of 5 stars,282,The Nantucket Inn (Nantucket Beach Plum Cove series Book 1)
Wizards RPG Team,4.6 out of 5 stars,1373,Dungeons & Dragons Starter Set
Ramit Sethi,4.7 out of 5 stars,274,"I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works"
Ellen Javernick,4.6 out of 5 stars,1070,What If Everybody Did That?
Drew Daywalt,4.8 out of 5 stars,3940,The Day the Crayons Quit
Henry Cloud,4.6 out of 5 stars,3312,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life"
Sandra Cisneros,4.1 out of 5 stars,1448,The House on Mango Street
R. J. Palacio,4.9 out of 5 stars,13204,Wonder
Mark Greaney,4.7 out of 5 stars,152,Red Metal
Merriam-Webster,4.6 out of 5 stars,498,"Webster's Spanish-English Dictionary for Students, Second Edition (English and Spanish Edition)"
Dr. Jason Fung,4.7 out of 5 stars,1986,"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting"
Tim Alberta,4.3 out of 5 stars,49,American Carnage: On the Front Lines of the Republican Civil War and the Rise of President Trump
Sharon Jones,4.4 out of 5 stars,15,Burn After Writing
Claire Lombardo,4.0 out of 5 stars,111,The Most Fun We Ever Had: A Novel
Jo Nesbo,4.6 out of 5 stars,144,Knife: A New Harry Hole Novel (Harry Hole Series)
"Gundry  MD, Dr. Steven R",4.3 out of 5 stars,2270,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain"
David Epstein,4.5 out of 5 stars,82,Range: Why Generalists Triumph in a Specialized World
Malcolm Gladwell,4.6 out of 5 stars,5233,Outliers: The Story of Success
"Gottman PhD, John",4.7 out of 5 stars,1598,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert
