authors,avg_rating,ratings_count,title
Future Press,4.3,88,Dark Souls Trilogy Compendium
Valorie Schaefer,4.8,2936,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)"
Lisa A. Urry,4.1,171,Campbell Biology (11th Edition)
Robin DiAngelo,4.3,473,White Fragility: Why It's So Hard for White People to Talk About Racism
Lori Gottlieb,4.7,615,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed"
Trevor Noah,4.8,7202,Born a Crime: Stories from a South African Childhood
Reece Hirsch,4.4,93,Black Nowhere (Lisa Tanchik Book 1)
John J Newman,2.9,770,"United States History: Preparing for the Advanced Placement Examination, 2018 Edition"
John Steinbeck,4.4,2609,Of Mice and Men
"Martin Jr., Bill",4.8,2837,"Brown Bear, Brown Bear, What Do You See?"
Wizards RPG Team,4.5,794,Xanathar's Guide to Everything (Dungeons & Dragons)
Anthony William,4.8,377,Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide
Hannah Shaw,5.0,178,Tiny But Mighty: Kitten Lady's Guide to Saving the Most Vulnerable Felines
Ray Dalio,4.4,998,Principles: Life and Work
Wizards RPG Team,4.7,1405,"Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game)"
Lois Lowry,4.4,6504,The Giver (1) (Giver Quartet)
Julia Cook,4.7,706,My Mouth Is A Volcano
Natasha Wing,4.6,368,The Night Before Kindergarten
Alvin Schwartz,4.2,927,Scary Stories Paperback Box Set: The Complete 3-Book Collection with Classic Art by Stephen Gammell
Alvin Schwartz,4.2,927,Scary Stories Paperback Box Set: The Complete 3-Book Collection with Classic Art by Stephen Gammell
"Vallerand PhD  RN  FAAN, April Hazard",4.5,99,Davis's Drug Guide for Nurses
Viktor E. Frankl,4.7,4394,Man's Search for Meaning
Charlie Mackesy,N/A,0,"The Boy, the Mole, the Fox and the Horse"
Wizards RPG Team,4.6,1450,"Dungeons & Dragons Dungeon Master's Guide (Core Rulebook, D&D Roleplaying Game)"
"Silvestri PhD  RN, Linda Anne",4.8,703,Saunders Comprehensive Review for the NCLEX-RN (Saunders Comprehensive Review for Nclex-Rn)
Amy Shields,4.7,1037,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)
Gary John Bishop,4.6,1310,Unfu*k Yourself: Get Out of Your Head and into Your Life
Pamela M. Kelley,4.2,285,The Nantucket Inn (Nantucket Beach Plum Cove series Book 1)
Wizards RPG Team,4.6,1373,Dungeons & Dragons Starter Set
Ramit Sethi,4.7,277,I Will Teach You to Be Rich: No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition)
Ellen Javernick,4.6,1070,What If Everybody Did That?
Drew Daywalt,4.8,3937,The Day the Crayons Quit
Henry Cloud,4.6,3313,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life"
Sandra Cisneros,4.1,1448,The House on Mango Street
R. J. Palacio,4.9,13204,Wonder
Merriam-Webster,4.6,499,"Webster's Spanish-English Dictionary for Students, Second Edition (English and Spanish Edition)"
Dr. Jason Fung,4.7,1988,"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting"
Tim Alberta,4.3,52,American Carnage: On the Front Lines of the Republican Civil War and the Rise of President Trump
Sharon Jones,4.4,15,Burn After Writing
"Gundry  MD, Dr. Steven R",4.3,2272,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain"
David Epstein,4.6,83,Range: Why Generalists Triumph in a Specialized World
Malcolm Gladwell,4.6,5233,Outliers: The Story of Success
"Gottman PhD, John",4.7,1598,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert
Gina Homolka,4.7,195,The Skinnytaste Air Fryer Cookbook: The 75 Best Healthy Recipes for Your Air Fryer
Joanna Gaines,4.7,2031,Magnolia Table: A Collection of Recipes for Gathering
Louise Penny,N/A,0,A Better Man: A Chief Inspector Gamache Novel
Stephen R. Covey,4.6,5213,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
Maria Semple,4.3,5859,"Where'd You Go, Bernadette: A Novel"
Hillary Rodham Clinton,N/A,0,The Book of Gutsy Women: Favorite Stories of Courage and Resilience
Melissa Hartwig,4.6,3536,The Whole30: The 30-Day Guide to Total Health and Food Freedom
"Greger M.D. FACLM, Michael",4.8,3149,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease
"Greger M.D. FACLM, Michael",4.8,3149,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease
Tim O'Brien,4.4,2626,The Things They Carried
Monica Sweeney,4.8,367,Zen as F*ck: A Journal for Practicing the Mindful Art of Not Giving a Sh*t (Zen as F*ck Journals)
J. D. Salinger,4.1,3473,The Catcher in the Rye
Linda Sue Park,4.7,1738,A Long Walk to Water: Based on a True Story
Donna Tartt,3.8,26192,The Goldfinch: A Novel (Pulitzer Prize for Fiction)
Trudy Ludwig,4.8,303,The Invisible Boy
Markus Zusak,4.6,19245,The Book Thief
Marie Forleo,N/A,0,Everything Is Figureoutable
The Princeton Review,4.3,12,"Cracking the SAT Premium Edition with 8 Practice Tests, 2020: The All-in-One Solution for Your Highest Possible Score (College Test Preparation)"
Carol S. Dweck,4.4,2439,Mindset: The New Psychology of Success
iClicker,4.5,178,iClicker2 Student Remote
Bill Martin Jr.,4.8,2743,Chicka Chicka Boom Boom (Board Book)
Naomi Kleinberg,4.5,1700,P is for Potty! (Sesame Street) (Lift-the-Flap)
Mike Barrett,4.4,125,SAT Prep Black Book: The Most Effective SAT Strategies Ever Published
Manhattan Prep,4.5,482,"5 lb. Book of GRE Practice Problems: 1,800+ Practice Problems in Book and Online (Manhattan Prep 5 lb Series)"
Columbia Law Review,4.2,142,"The Bluebook: A Uniform System of Citation, 20th Edition"
Benjamin Graham,4.5,1949,The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)
Kristin Hannah,4.8,38606,The Nightingale: A Novel
Crispin Boyer,4.8,610,"National Geographic Kids Why?: Over 1,111 Answers to Everything"
Rick Riordan,4.8,2334,Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians)
Jen Fisch,4.3,721,"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet"
Bryan Stevenson,4.8,3629,Just Mercy: A Story of Justice and Redemption
Kaplan Test Prep,4.2,109,GRE Prep Plus 2020: Practice Tests + Proven Strategies + Online + Video + Mobile (Kaplan Test Prep)
Marco Borges,4.2,104,"The Greenprint: Plant-Based Diet, Best Body, Better World"
Katherine Applegate,4.8,2691,The One and Only Ivan
Annie F. Downs,4.7,354,100 Days to Brave: Devotions for Unlocking Your Most Courageous Self
Viola Davis,4.8,20,Corduroy Takes a Bow
Marty Smith,5.0,9,"Never Settle: Sports, Family, and the American Soul"
"Lewis RN  PhD  FAAN, Sharon L.",4.0,97,"Medical-Surgical Nursing: Assessment and Management of Clinical Problems, Single Volume"
National Geographic Kids,4.8,1204,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)"
Laura Lippman,3.9,114,Lady in the Lake: A Novel
"Lewis RN  PhD  FAAN, Sharon L.",4.0,97,"Medical-Surgical Nursing: Assessment and Management of Clinical Problems, Single Volume"
National Geographic Kids,4.8,1204,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)"
Laura Lippman,3.9,114,Lady in the Lake: A Novel
K.L. Slater,4.4,98,The Silent Ones: An absolutely gripping psychological thriller
Travis Bradberry,4.1,1443,Emotional Intelligence 2.0
Margaret Atwood,4.1,15044,The Handmaid's Tale
Lisa Regan,4.7,40,Her Silent Cry: An absolutely gripping mystery thriller (Detective Josie Quinn Book 6)
Stephen C. Yeazell,3.0,2,Civil Procedure [Connected Casebook] (Aspen Casebook)
Editors of Phoenix International Publications,4.5,68,"World of Eric Carle, Hear Bear Roar 30 Animal Sound Book - PI Kids (The World of Eric Carle: Play-a-sound)"
Rod Campbell,4.8,3014,Dear Zoo: A Lift-the-Flap Book
James Patterson,4.4,930,The 18th Abduction (Women's Murder Club)
Andrea Beaty,4.9,1265,"Rosie Revere, Engineer"
Jon Krakauer,4.3,2763,Into the Wild
Amor Towles,4.7,10840,A Gentleman in Moscow: A Novel
